total.;1
tranquilos;1
trataron;1
trataré;1
traté;1
trece,;1
trecho;1
treinta;2
trenzador.;1
tres;8
tripartita;1
triviales.;1
triángulo;1
tullido,;1
tullido.;1
tuviera;2
tuvo;1
térmicas,;1
tío,;1
un;53
una;25
una,;1
unidades;;1
uno;1
unos;1
urgente,;1
urgentes,;1
uruguayo.;1
usdem;1
ustedes.;2
ut;1
vacíadero;1
vagamente;1
vago;1
valerosa;1
valija;1
valija,;1
vanagloria;1
veces;4
vedia.;1
veinticuatro;1
vela.;1
velorio.;1
ventana;1
ventana.;1
venía;1
veníamos;1
veo;1
ver,;1
veracidad;1
veraneamos;1
veranear;1
verbis;1
verbo;1
vereda;1
veredas;1
vernáculo”;;1
vertiginoso;1
vetas;1
vez;6
vez.;2
veía;1
vi;3
vi,;1
vi;;1
vida;1
viento;1
vigilia;1
vigésimocuarto;1
viril;1
viris;1
virtudes;1
vislumbrar;1
vistazo,;1
visto,;1
visual;1
vivido;1
vivimos;1
vivo;1
viéndola;1
vocabulario;1
voces;1
volteado;1
volteó;1
volumen;2
volviera;1
volví;1
volvía;2
volúmenes,;1
voz;7
voz,;1
voz;;1
vuelta;1
vástagos;1
víspera;1
y;64
y,;2
ya;5
yo;6
zarpaba;1
¿Qué;1
Éste,;1
árbol;1
árboles;;1
él;3
él;;1
ésa;1
última,;1
últimas;2
única;2
—género;1
“Saturno”;1
“Un;1
“cronométrico;1
“del;1
“había;1
“nada;1
“números”;1
“para;1
